ID,target_file1,target_file2
00e15da96484eb94.jpg,4,3
03a7dcbe6b74bb8e.jpg,3,14
04fc58802ef2f7a6.jpg,3,7
0546cab14c4ee65b.jpg,7,3
075ed6e4c487debc.jpg,3,7
106e817be539b3e7.jpg,4,3
10f7a181195be840.jpg,4,14
12c0ac56836761e0.jpg,3,7
1421fb31607c5123.jpg,6,13
15a24e3d9d781c17.jpg,3,7
15d8e28fa134e037.jpg,4,14
17ab20ba9372dfc0.jpg,4,3
18912bd404188282.jpg,4,7
189255f6ac4eb66b.jpg,4,7
1a6b433e34bc9a9d.jpg,4,14
1b45268518d29b07.jpg,4,7
1c6ae69790e0b81e.jpg,6,12
1e5e16337b85dbc5.jpg,7,3
1fbe8682aec6fe42.jpg,3,4
2151ee0c994c9423.jpg,7,3
21b4bb9973d1a078.jpg,3,4
22f8d8a6aa894258.jpg,3,7
243b2b94d769833f.jpg,4,14
258e073a7f65a0a6.jpg,7,14
26143bfda03ce73e.jpg,3,4
279c0046ee09258d.jpg,4,14
29ab86a8a17eae1d.jpg,4,7
2b422337f4b4d937.jpg,7,14
2cab10f1deae738e.jpg,14,3
2d2e3fe1fec169d9.jpg,7,3
2f9028f0459b7cf8.jpg,4,3
2fa16fe7ed0b6e97.jpg,4,3
30a664ef38905cc1.jpg,11,13
313f7f0ec1b28505.jpg,7,14
322373ff9187b892.jpg,4,14
324fec55bf36d535.jpg,3,7
32b8475aa0122549.jpg,7,3
337bad494e81ae58.jpg,4,7
34a282f9b1d637ab.jpg,7,4
35323a14ead5dd50.jpg,4,3
376515c62a2886bb.jpg,4,14
39832365c6edea3e.jpg,14,7
39c97e8c3e07a970.jpg,7,3
3a3b4dfd12bec59a.jpg,3,7
3b4d9c52b698f7eb.jpg,6,12
3ccf70b7d0e93b16.jpg,10,14
3e17b829d0c0d4d7.jpg,4,3
41150b7c2661d268.jpg,14,12
413269bd2a9b8d24.jpg,7,3
45fa31f65f2a2944.jpg,4,3
47859aea477544cc.jpg,14,4
49dd1508dcbd845f.jpg,7,3
4ea747633364c862.jpg,7,3
