ID,target_file1,target_file2
0145dd3d1cd090ae.jpg,7,4
03cb3f2e0962474e.jpg,3,7
071a06f75055347b.jpg,7,14
082e8c4d8d82eb01.jpg,7,3
0b0e7e754b5a103c.jpg,3,7
0c5b6caa96ec9882.jpg,3,7
1027d7b85da774e4.jpg,7,4
106e817be539b3e7.jpg,7,3
15ca73556389df7e.jpg,3,7
15d8e28fa134e037.jpg,14,4
17ab20ba9372dfc0.jpg,7,3
18912bd404188282.jpg,7,4
19715393750c278b.jpg,7,3
1a0ba37806171e85.jpg,7,3
1b45268518d29b07.jpg,3,7
1b8e376917bc35ce.jpg,7,3
1c6ae69790e0b81e.jpg,12,6
1f5f0b704c5daf78.jpg,7,4
1fbe8682aec6fe42.jpg,4,14
21b4bb9973d1a078.jpg,4,3
243b2b94d769833f.jpg,14,4
26143bfda03ce73e.jpg,4,14
280eb4c18e0b9422.jpg,7,14
285481c6e36c45c1.jpg,7,4
29ab86a8a17eae1d.jpg,7,3
2adc963a2a9727a0.jpg,3,7
2b422337f4b4d937.jpg,14,7
2d2e3fe1fec169d9.jpg,7,3
2f9028f0459b7cf8.jpg,3,4
32b8475aa0122549.jpg,3,7
33dc33929cac108e.jpg,3,7
35323a14ead5dd50.jpg,3,7
373c12dc3692758d.jpg,3,7
37adbf12f411fd8e.jpg,4,14
39832365c6edea3e.jpg,7,14
39ede02536a8213e.jpg,7,3
3b9fbbbc821ed2f9.jpg,7,14
3ccf70b7d0e93b16.jpg,14,10
3cf69d787241e31a.jpg,7,14
3f75c2e3ee148874.jpg,7,4
41150b7c2661d268.jpg,7,12
413269bd2a9b8d24.jpg,3,7
423a9205ea6b7438.jpg,3,7
42d6b312dc8561d1.jpg,10,14
45fa31f65f2a2944.jpg,7,4
46db6a2450693c8c.jpg,7,3
4ea747633364c862.jpg,3,7
4fe11ac080fe96a8.jpg,7,3
50fadca3c7e78c9a.jpg,7,3
5305efa0ba1cbdab.jpg,12,10
53a57c4c5c00eae4.jpg,4,7
58000fa626a1ae24.jpg,4,14
597c4a6ff5404245.jpg,14,4
5a97ab8597f84217.jpg,7,4
5f2ea6fb8d52e684.jpg,7,14
5fc2b023b04011dd.jpg,3,7
613833fd595ac750.jpg,12,11
671c017c113ed2e9.jpg,14,7
683e9079dceb7597.jpg,7,14
6a60ec4ee148197a.jpg,7,14
6d1bd13a90451337.jpg,14,4
6d31a57776ef3b85.jpg,7,3
6df82d49aa5e4ad6.jpg,3,7
70216fd8dfbff589.jpg,7,3
72b6c641287bef62.jpg,7,14
7404c6d037cef4ad.jpg,7,4
74d688c1a1fbac72.jpg,1,4
77115bb2a06525a1.jpg,7,3
781f87e2ec698df4.jpg,7,14
788db77e0729a8b3.jpg,7,14
79df1933cabdd2c3.jpg,3,7
7b05883d4cc3accb.jpg,14,4
7c215170b3775516.jpg,12,14
80efcc05aae649d1.jpg,4,14
84fdac33362623aa.jpg,7,14
8538d5326f92f9fb.jpg,3,7
86b7545dcd7ff9be.jpg,4,14
8831de3187848f80.jpg,13,6
8998b8b97ddd0e98.jpg,7,3
8ab8748d2c2c8f0e.jpg,3,7
8c957dd1d73464ad.jpg,7,3
8f4212c831172d23.jpg,7,10
92512354bbfb5efa.jpg,7,3
94fa097bb4b92411.jpg,3,7
9524bff8bf3873e5.jpg,4,14
969a57dc6df5edd9.jpg,3,7
993d62363c7eb474.jpg,3,7
9bff9bd9cb990eb8.jpg,7,3
9d0d07245bc7af85.jpg,7,3
9e01858d285f1bad.jpg,3,7
9ea5590fc081d96a.jpg,7,4
9ff32e9dfc64a6e7.jpg,4,14
a0ad7a8fbbd6c9a9.jpg,1,11
a147e00d064cab8e.jpg,7,4
a1a719520384a188.jpg,7,3
a21b47d761d884e6.jpg,14,7
a3295e03978b5ecc.jpg,4,1
a3525f562196deb8.jpg,7,3
a913171d9bae5ef8.jpg,7,4
ad1f2279e62b1454.jpg,7,3
ad6085fd480225b6.jpg,7,13
ada48148dc527576.jpg,7,0
adfc68d550701374.jpg,7,3
afa31e08d4f6249c.jpg,3,7
b6dabe111523ae05.jpg,7,14
b71bff532805d61b.jpg,7,14
b8013182f4f3c77b.jpg,7,3
b925684ecac1ef36.jpg,12,15
ba1df2e66fb381fe.jpg,7,3
ba3ad8c0225bda7a.jpg,4,7
bb2b47f8319ee58b.jpg,7,3
bc4e99e82e23571a.jpg,7,14
